,id,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Fantavoto Media,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
2443,645,Milinkovic-Savic,26.0,37.0,C,29.0,29.0,7.594594594594595,7.083333333333333,6.84114679260101,-0.7534478019935849,-0.5112612612612617,-0.24218654073232315
2523,666,Machin,24.0,0.0,C,4.0,4.0,,5.92,6.035046550611953,,,0.1150465506119529
2559,697,Cuadrado,33.0,33.0,C,15.0,15.0,6.606060606060606,5.919354838709677,6.333278786064367,-0.27278181999623907,-0.6867057673509294,0.4139239473546903
2723,779,Cristante,26.0,34.0,C,9.0,9.0,5.955882352941177,5.888888888888889,5.999200811929029,0.04331845898785236,-0.06699346405228734,0.1103119230401397
2798,795,El Shaarawy,28.0,27.0,C,9.0,9.0,6.2407407407407405,7.0344827586206895,6.246053765391642,0.0053130246509018875,0.793742017879949,-0.7884289932290471
2829,801,Gagliardini,27.0,18.0,C,8.0,8.0,6.472222222222222,5.605263157894737,6.112416938370737,-0.35980528385148514,-0.8669590643274852,0.507153780476
2881,827,Locatelli,23.0,31.0,C,14.0,14.0,6.435483870967742,6.078125,6.211222500649629,-0.22426137031811333,-0.357358870967742,0.13309750064962866
2988,1870,Barella,24.0,36.0,C,20.0,19.0,6.916666666666667,6.857142857142857,6.428328471940532,-0.4883381947261354,-0.0595238095238102,-0.4288143852023252
3078,1901,Barberis,27.0,0.0,C,7.0,7.0,,5.888888888888889,5.983389994489498,,,0.09450110560060843
3136,1933,Mandragora,24.0,21.0,C,9.0,9.0,6.0476190476190474,6.241379310344827,6.022339639043745,-0.025279408575302753,0.19376026272577995,-0.2190396713010827
3239,1978,Sensi,25.0,20.0,C,12.0,12.0,6.075,6.232142857142857,6.169943583529063,0.09494358352906307,0.15714285714285658,-0.062199273613793515
3283,1995,Djuricic,29.0,12.0,C,13.0,13.0,6.625,5.71875,6.308851439164173,-0.31614856083582676,-0.90625,0.5901014391641732
3316,2002,Chiesa,23.0,14.0,C,25.0,25.0,6.785714285714286,6.595238095238095,6.730414015418777,-0.05530027029550855,-0.1904761904761907,0.13517592018068214
3342,2008,Linetty,26.0,16.0,C,5.0,4.0,5.71875,5.921875,5.88151351110947,0.1627635111094703,0.203125,-0.040361488890529706
3350,2009,Lukic,24.0,35.0,C,0.0,0.0,6.5,6.3125,6.0987908863963085,-0.4012091136036915,-0.1875,-0.2137091136036915
3360,2011,Miguel Veloso,35.0,22.0,C,6.0,6.0,6.0227272727272725,5.704545454545454,5.911979891941368,-0.11074738078590407,-0.31818181818181834,0.20743443739591427
3487,2077,Pasalic,26.0,37.0,C,22.0,21.0,7.391891891891892,6.40625,6.7140436935208,-0.677848198371092,-0.9856418918918921,0.3077936935208001
3516,2085,Luis Alberto,28.0,34.0,C,18.0,17.0,6.8088235294117645,6.9,6.614621988785927,-0.19420154062583705,0.09117647058823586,-0.2853780112140729
3600,2117,Kastanos,23.0,27.0,C,5.0,5.0,5.944444444444445,6.160714285714286,6.006797414251463,0.06235296980701843,0.21626984126984095,-0.1539168714628225
3703,2154,Vignato,20.0,24.0,C,3.0,3.0,5.9375,6.269230769230769,5.956764813131533,0.019264813131533387,0.33173076923076916,-0.3124659560992358
