,id,Stagione,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Voto Media,Voto Media Storica,Fantavoto Media,Fantavoto Media Storica,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
14818,6131,2021.0,Paoletti,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.833333333333333,5.964561565703552,,,0.1312282323702192
14845,6142,2021.0,Cipot,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,6.0,5.97578358226227,,,-0.024216417737729756
14899,6157,2021.0,Malagrida,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.833333333333333,5.978313086815884,,,0.1449797534825512
14917,6162,2021.0,Abildgaard,25.0,0,C,3.0,3.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.653846153846154,5.975243960248266,,,0.32139780640211146
14935,6170,2021.0,Gineitis,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.666666666666667,5.964561565703552,,,0.29789489903688526
14953,6175,2021.0,Barrenechea,24.0,0,C,1.0,1.0,5.976190476190476,5.988516830294531,,6.143908898305085,5.5,5.964561565703552,,,0.4645615657035522
537,90,2021.0,Lasagna,28.0,28,A,11.0,10.0,5.928571428571429,5.880597014925373,6.232142857142857,6.465174129353234,5.903846153846154,6.378945317033498,0.14680245989064122,-0.3282967032967026,0.4750991631873438
1140,186,2021.0,Rebic,27.0,24,A,14.0,14.0,6.0625,6.0989010989010985,6.354166666666667,6.917582417582418,6.282608695652174,6.431079744213572,0.07691307754690513,-0.07155797101449313,0.14847104856139826
1311,212,2021.0,Ciofani D,36.0,0,A,1.0,1.0,6.0,5.920289855072464,,6.557971014492754,6.71875,6.282000072552531,,,-0.4367499274474689
1329,215,2021.0,Verde,25.0,33,A,18.0,18.0,6.287878787878788,6.0777777777777775,7.075757575757576,6.677777777777778,6.28,6.5758124689439565,-0.4999451068136196,-0.7957575757575759,0.2958124689439563
1977,309,2021.0,Dybala,27.0,29,A,29.0,29.0,6.344827586206897,6.373809523809523,7.396551724137931,7.642857142857143,8.24,7.211564072347215,-0.1849876517907152,0.8434482758620696,-1.0284359276527848
2508,383,2021.0,Petagna,26.0,24,A,15.0,14.0,6.020833333333333,6.064864864864865,6.416666666666667,6.762162162162162,6.564516129032258,6.458393549376722,0.04172688271005498,0.14784946236559104,-0.10612257965553606
2688,407,2021.0,Gabbiadini,29.0,18,A,15.0,15.0,6.166666666666667,6.0578512396694215,7.194444444444445,6.867768595041323,6.428571428571429,6.563651482389584,-0.6307929620548602,-0.7658730158730158,0.13508005381815558
2913,441,2021.0,Belotti,27.0,22,A,16.0,15.0,6.204545454545454,6.241379310344827,7.318181818181818,7.454741379310345,5.82258064516129,6.701094713052496,-0.6170871051293227,-1.4956011730205283,0.8785140678912056
3128,472,2021.0,Destro,30.0,27,A,18.0,16.0,6.018518518518518,5.952662721893491,6.981481481481482,6.727810650887574,5.911764705882353,6.526065123228057,-0.45541635825342475,-1.0697167755991286,0.6143004173457038
3173,479,2021.0,Sanabria,25.0,29,A,21.0,21.0,6.155172413793103,6.0060975609756095,6.758620689655173,6.695121951219512,7.409090909090909,6.532788511811723,-0.22583217784344978,0.6504702194357366,-0.8763023972791864
3308,495,2021.0,Correa,26.0,26,A,16.0,16.0,6.0576923076923075,6.094405594405594,6.75,6.741258741258742,6.3076923076923075,6.684762613420766,-0.06523738657923417,-0.4423076923076925,0.37707030572845834
3362,505,2021.0,Bonazzoli,24.0,32,A,14.0,14.0,6.21875,6.095505617977528,7.0625,6.685393258426966,6.3125,6.52726334595869,-0.5352366540413103,-0.75,0.21476334595868973
3380,507,2021.0,Muriel,30.0,27,A,26.0,26.0,6.351851851851852,6.290502793296089,7.62962962962963,7.58659217877095,6.362068965517241,7.076653488879874,-0.552976140749756,-1.2675606641123887,0.7145845233626327
3569,531,2021.0,Berardi,26.0,33,A,35.0,35.0,6.712121212121212,6.269047619047619,8.333333333333334,7.242857142857143,7.9423076923076925,7.116730459549354,-1.2166028737839802,-0.3910256410256414,-0.8255772327583388
3614,537,2021.0,Sansone,29.0,27,A,6.0,6.0,6.0,6.003623188405797,6.222222222222222,6.336956521739131,6.944444444444445,6.16778668072621,-0.05443554149601226,0.7222222222222223,-0.7766577637182346
3830,568,2021.0,Quagliarella,38.0,33,A,10.0,10.0,5.909090909090909,6.082978723404255,6.303030303030303,7.25531914893617,6.108695652173913,6.320723390069121,0.017693087038818334,-0.19433465085638968,0.212027737895208
4073,608,2021.0,Zapata D.,30.0,24,A,32.0,32.0,6.375,6.2704545454545455,7.729166666666667,7.659090909090909,6.26,7.345730706927177,-0.3834359597394901,-1.4691666666666672,1.085730706927177
4316,643,2021.0,Defrel,30.0,38,A,8.0,8.0,5.881578947368421,5.9438775510204085,6.052631578947368,6.573979591836735,5.962962962962963,6.185207406562726,0.1325758276153577,-0.08966861598440534,0.22224444359976303
4352,647,2021.0,Dzeko,35.0,36,A,16.0,15.0,6.277777777777778,6.225531914893617,7.5,7.504255319148936,7.0606060606060606,6.909243569812571,-0.5907564301874286,-0.43939393939393945,-0.15136249079348918
5000,785,2021.0,Immobile,31.0,31,A,42.0,42.0,6.596774193548387,6.373873873873874,9.016129032258064,8.42117117117117,7.387096774193548,7.600967406656504,-1.4151616256015602,-1.629032258064516,0.2138706324629558
5351,1857,2021.0,Di Francesco F.,27.0,26,A,12.0,12.0,6.115384615384615,6.048672566371682,6.653846153846154,6.415929203539823,6.083333333333333,6.443254154203133,-0.21059199964302078,-0.5705128205128212,0.3599208208698004
5810,1943,2021.0,Nestorovski,25.0,7,A,11.0,10.0,6.142857142857143,5.882978723404255,6.5,6.409574468085107,6.238095238095238,6.237356180259643,-0.2626438197403571,-0.26190476190476186,-0.0007390578355952471
5918,1958,2021.0,Caprari,28.0,35,A,26.0,26.0,6.5285714285714285,6.048648648648649,7.7,6.7,6.391891891891892,6.9993027564097385,-0.7006972435902616,-1.308108108108108,0.6074108645178464
6107,1998,2021.0,Pjaca,26.0,24,A,9.0,9.0,5.958333333333333,5.853260869565218,6.333333333333333,6.103260869565218,5.852941176470588,6.240753201204066,-0.09258013212926741,-0.48039215686274517,0.38781202473347776
6206,2012,2021.0,Milik,27.0,0,A,21.0,20.0,6.0,6.091397849462366,,7.274193548387097,6.7407407407407405,6.549033811506902,,,-0.19170692923383825
6269,2038,2021.0,Pinamonti,22.0,36,A,23.0,23.0,6.152777777777778,5.929245283018868,7.208333333333333,6.59433962264151,6.0625,6.848135427696777,-0.3601979056365563,-1.145833333333333,0.7856354276967767
6359,2061,2021.0,Simeone,26.0,36,A,25.0,25.0,6.166666666666667,5.920930232558139,7.5,6.8534883720930235,6.64,6.892113334025936,-0.607886665974064,-0.8600000000000003,0.2521133340259363
6629,2097,2021.0,Kean,21.0,32,A,15.0,14.0,5.96875,5.962686567164179,6.421875,6.619402985074627,6.428571428571429,6.4860358410956085,0.06416084109560849,0.006696428571428825,0.057464412524179664
6647,2103,2021.0,Pellegri,20.0,15,A,12.0,11.0,5.933333333333334,6.0,6.1,6.4375,6.305555555555555,6.287863291664467,0.1878632916644669,0.2055555555555557,-0.0176922638910888
6782,2119,2021.0,Deulofeu,27.0,34,A,24.0,24.0,6.514705882352941,6.34375,7.676470588235294,7.2109375,7.0,7.102312303477111,-0.574158284758183,-0.6764705882352944,0.1023123034771114
7878,2325,2021.0,Karamoh,23.0,0,A,4.0,4.0,6.0,5.845454545454546,,6.072727272727272,6.595238095238095,6.172652251579035,,,-0.4225858436590597
8004,2369,2021.0,Thauvin,28.0,0,A,18.0,18.0,6.0,6.0,,6.660377358490566,5.75,6.4635158816151534,,,0.7135158816151534
8031,2382,2021.0,Di Maria,33.0,0,A,26.0,26.0,6.0,6.0,,6.660377358490566,6.6923076923076925,6.875058467477148,,,0.18275077516945526
8112,2438,2021.0,Jovic,23.0,0,A,24.0,24.0,6.0,6.0,,6.660377358490566,6.483870967741935,6.712978269452945,,,0.2291073017110099
8139,2466,2021.0,Origi,26.0,0,A,17.0,17.0,6.0,6.0,,6.660377358490566,6.037037037037037,6.452501737175388,,,0.4154647001383509
8184,2489,2021.0,Pedro,34.0,32,A,19.0,19.0,6.25,6.084745762711864,7.140625,6.813559322033898,6.527777777777778,6.584223190712892,-0.5564018092871077,-0.6128472222222223,0.056445412935114625
8229,2530,2021.0,Ibrahimovic,39.0,23,A,13.0,13.0,6.326086956521739,6.366666666666666,7.195652173913044,7.791666666666667,6.5,6.667837203016602,-0.5278149708964417,-0.6956521739130439,0.1678372030166022
8238,2531,2021.0,Lukaku,28.0,0,A,39.0,39.0,6.0,6.513888888888889,,8.569444444444445,7.66,7.094865714458977,,,-0.5651342855410233
8265,2544,2021.0,Abraham,23.0,37,A,33.0,33.0,6.256756756756757,6.256756756756757,7.621621621621622,7.621621621621622,6.855263157894737,7.484419199075346,-0.13720242254627557,-0.7663584637268848,0.6291560411806092
8643,2719,2021.0,Barrow,22.0,34,A,17.0,17.0,6.0588235294117645,6.049618320610687,6.764705882352941,6.770992366412214,6.328125,6.7159455307852065,-0.04876035156773462,-0.4365808823529411,0.3878205307852065
8832,2756,2021.0,Piatek,26.0,14,A,15.0,14.0,5.964285714285714,6.065217391304348,6.392857142857143,7.239130434782609,6.2727272727272725,6.443505780532378,0.050648637675235086,-0.12012987012987075,0.17077850780510584
8877,2762,2021.0,Kouame',23.0,0,A,9.0,9.0,6.0,6.01123595505618,,6.432584269662922,6.625,6.3085196287114025,,,-0.3164803712885975
8886,2764,2021.0,Martinez L.,23.0,35,A,34.0,34.0,6.357142857142857,6.288888888888889,7.9,7.488888888888889,8.105263157894736,7.4738396261856845,-0.4261603738143158,0.20526315789473593,-0.6314235317090517
9228,2819,2021.0,Caputo,33.0,38,A,21.0,21.0,6.0,6.124087591240876,6.881578947368421,7.423357664233577,6.444444444444445,6.595932837494191,-0.28564610987423045,-0.4371345029239766,0.15148839304974615
9246,2826,2021.0,Pussetto,25.0,28,A,5.0,6.0,5.946428571428571,5.97093023255814,6.375,6.372093023255814,5.6,6.368864484247883,-0.006135515752117016,-0.7750000000000004,0.7688644842478833
9264,2832,2021.0,Boga,24.0,27,A,13.0,15.0,5.925925925925926,6.053097345132743,6.0,6.584070796460177,6.673913043478261,6.409401570970818,0.4094015709708181,0.6739130434782608,-0.26451147250744267
